YEAR,TIPO_SUBVENCION,CODIGO,NOMBRE_INICIATIVA,PROVINCIA,COMUNA,RUT_INSTITUCION,NOMBRE_INSTITUCION,ID,CAJA,UBICACION,DOC_PRESENTE,OBSERVACION,PDF_PATH
2023,ADULTO MAYOR,2301AM0001,CREANDO Y PINTANDO CON LOS ADULTOS MAYORES DE ALTO HUAPE,ITATA,RÁNQUIL,65.214.300-8,CLUB ADULTO MAYOR ALTO HUAPE,1,1,,,,
2023,ADULTO MAYOR,2301AM0002,CULTIVANDO TALENTOS,PUNILLA,SAN CARLOS,65.020.974-5,CENTRO DE ADULTO MAYOR LOS VALIENTES DE TRES ESQUINAS,2,1,,,,
2023,ADULTO MAYOR,2301AM0003,APRENDIZAJE CULTURAL,DIGUILLÍN,SAN IGNACIO,65.242.060-5,CLUB ADULTO MAYOR JUAN DE DIOS DÁVILA,3,1,,,,
2023,ADULTO MAYOR,2301AM0004,DISFRUTANDO LA NATURALEZA EN LOS AÑOS DORADOS,DIGUILLÍN,CHILLÁN,65.495.660-K,CLUB ADULTO MAYOR SAN PEDRO NOLASCO,4,1,,,,
2023,ADULTO MAYOR,2301AM0005,VIAJE CULTURAL RECREATIVO A LA REGION DE O´HIGGINS,DIGUILLÍN,CHILLÁN,65.162.657-9,CLUB DE ADULTO MAYOR NUESTRA PRIMAVERA,5,1,,,,
2023,ADULTO MAYOR,2301AM0006,PREVENCIÓN TEMPRANA EN LA AUDICIÓN DEL ADULTO MAYOR,DIGUILLÍN,BULNES,65.105.783-3,CLUB DE ADULTO MAYOR SOL Y LUNA,6,1,,,,
2023,ADULTO MAYOR,2301AM0007,YOGA MAYOR,DIGUILLÍN,BULNES,74.915.800-K,CLUB DE ANCIANOS BETANIA,7,1,,,,
2023,ADULTO MAYOR,2301AM0008,MÚSICA PARA DESPERTAR EMOCIONES EN LAS PERSONAS MAYORES DEL ELEAM LIZANDRO DE LA FUENTE,PUNILLA,ÑIQUÉN,75.546.300-0,COMITÉ DE APOYO AL ADULTO AL ADULTO MAYOR LUZ DEL FUTURO,8,1,,,,
2023,ADULTO MAYOR,2301AM0013,LA VEJEZ TIENE SUS PLACERES,ITATA,QUIRIHUE,75.956.980-6,UNIÓN COMUNAL ADULTO MAYOR,9,1,,,,
2023,ADULTO MAYOR,2301AM0014,ADULTOS MAYORES FELICES,DIGUILLÍN,SAN IGNACIO,65.034.503-7,CLUB ADULTO MAYOR NUEVO AMANECER,10,1,,,,
2023,ADULTO MAYOR,2301AM0015,"ADULTOS MAYORES NOS VINCULAMOS, AVANZANDO A TRAVES DE LA ESTIMULACIÓN FISICA Y COGNITIVA",ITATA,RÁNQUIL,65.191.756-5,AGRUPACIÓN DE ADULTOS MAYORES VÍNCULOS RÁNQUIL,11,1,,,,
2023,ADULTO MAYOR,2301AM0017,MENTE ACTIVA,PUNILLA,SAN CARLOS,65.047.531-3,GRUPO ADULTO MAYOR LAS ARBOLEDAS,12,1,,,,
2023,ADULTO MAYOR,2301AM0018,APOYO ALIMENTARIO PARA EL ADULTO MAYOR,DIGUILLÍN,CHILLÁN,75.998.140-5,CLUB DEL ADULTO MAYOR ÁNGEL HERNÁNDEZ RINCONADA DE CATO,13,1,,,,
2023,ADULTO MAYOR,2301AM0019,VIAJE TERAPEUTICO 24 HORAS BAÑOS TERMALES,DIGUILLÍN,QUILLÓN,74.787.400-K,GRUPO DE ADULTO MAYOR LA MOVIDA,14,1,,,,
2023,ADULTO MAYOR,2301AM0020,LA ALEGRÍA DE EJERCITARNOS EN CAÑA DULCE,ITATA,TREGUACO,65.100.456-k,"CLUB DE ADULTO MAYOR ""LA ALEGRÍA DE VIVIR EN CAÑA DULCE",15,1,,,,
2023,ADULTO MAYOR,2301AM0022,TALLER CARPINTERIA ADULTO MAYOR,PUNILLA,SAN NICOLÁS,65.124.648-2,CLUB ADULTO MAYOR AMOR DE VIVIR,16,1,,,,
2023,ADULTO MAYOR,2301AM0024,CANTOS Y DANZAS CON EL ADULTO MAYOR,DIGUILLÍN,CHILLÁN,75.921.100-6,CLUB ADULTO MAYOR MARIA LA MERCED,17,1,,,,
2023,ADULTO MAYOR,2301AM0026,VIAJE TURÍSTICO CULTURAL A VALLE HERMOSO,DIGUILLÍN,CHILLÁN,65.019.942-1,CLUB DE ADULTO MAYOR AMISTAD,18,1,,,,
2023,ADULTO MAYOR,2301AM0027,EL CLUB RENACIENDO A LA VIDA VA A CONSTITUCIÓN,DIGUILLÍN,CHILLÁN,65.023.949-0,CLUB ADULTO MAYOR RENACIENDO A LA VIDA,19,1,,,,
2023,ADULTO MAYOR,2301AM0028,CON LOS AÑOS ADQUIERIENDO MAS EXPERIENCIA,DIGUILLÍN,PEMUCO,73.514.500-2,ASOCIACIÓN DE PENSIONADOS DE PEMUCO,20,1,,,,
2023,ADULTO MAYOR,2301AM0030,APRENDIENDO ALFABETIZACIÓN DIGITAL CONOCEMOS EL CONGRESO,DIGUILLÍN,CHILLÁN,74.730.900-0,LOS MUCHACHOS DE AGOSTO,21,1,,,,
2023,ADULTO MAYOR,2301AM0031,ACORDES DE PEMUCO 2.0,DIGUILLÍN,PEMUCO,65.081.587-4,CLUB DE ADULTO MAYOR SECTOR LAS LAJUELAS,22,1,,,,
2023,ADULTO MAYOR,2301AM0032,"TALLER DE MOVILIDAD FISICA E HIDROTERAPIA PARA EL ADULTO MAYOR""",PUNILLA,SAN CARLOS,65.063.072-6,GRUPO DE ADULTO MAYOR RENOVANDO JUVENTUD,23,1,,,,
2023,ADULTO MAYOR,2301AM0034,LOS SOCIOS Y SOCIAS DEL CLUB ADULTO MAYOR AÑOS PLENOS SE VAN AL PARQUE DE LOTA,DIGUILLÍN,CHILLÁN,65.070.660-9,CLUB ADULTO MAYOR AÑOS PLENOS,24,1,,,,
2023,ADULTO MAYOR,2301AM0035,COMIDA SALUDABLE PARA ADULTOS MAYORES,PUNILLA,SAN CARLOS,65.101.881-1,CENTRO DE ADULTO MAYOR ARCOIRIS DE PARRALITO,25,1,,,,
2023,ADULTO MAYOR,2301AM0036,MEJOR CAMINAR PARA RANQUIL,ITATA,RÁNQUIL,75.938.110-6,UNIÓN COMUNAL DEL ADULTO MAYOR DE LA COMUNA DE RANQUIL,26,,,SI,,pdf_procesado/2301AM0036.pdf
